<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
25/09/18,115350,115740,115320,115540
25/09/18,115540,115560,115350,115400
25/09/18,115390,115400,115330,115370
25/09/18,115380,115400,115340,115390
25/09/18,115390,115400,115270,115370
25/09/18,115370,115420,115340,115410
25/09/18,115420,115460,115380,115410
25/09/18,115430,115490,115400,115440
25/09/18,115450,115470,115310,115380
25/09/18,115390,115440,115340,115370
25/09/18,115370,115390,115300,115320
25/09/18,115330,115330,115170,115240
25/09/18,115240,115240,115070,115170
25/09/18,115160,115170,115090,115130
25/09/18,115150,115150,115100,115140
25/09/18,115130,115150,115000,115020
25/09/18,115010,115030,114930,114930
25/09/18,114930,114950,114820,114830
25/09/18,114820,114840,114650,114710
25/09/18,114710,114710,114480,114690
25/09/18,114690,114690,114610,114670
25/09/18,114670,114850,114650,114850
25/09/18,114840,114860,114750,114780
25/09/18,114770,114820,114740,114750
25/09/18,114750,114790,114730,114760
25/09/18,114760,114770,114720,114760
25/09/18,114740,114840,114740,114830
25/09/18,114820,114830,114750,114790
25/09/18,114780,114850,114750,114820
25/09/18,114820,114850,114750,114760
25/09/18,114760,114850,114750,114830
25/09/18,114830,114840,114770,114830
25/09/18,114830,114920,114810,114900
25/09/18,114890,114900,114830,114880
25/09/18,114890,114950,114810,114830
25/09/18,114830,114850,114790,114810
25/09/18,114810,114910,114780,114910
25/09/18,114890,114930,114880,114880
25/09/18,114870,114890,114760,114770
25/09/18,114770,114770,114650,114650
25/09/18,114650,114690,114630,114640
25/09/18,114640,114690,114610,114660
25/09/18,114660,114670,114610,114630
25/09/18,114650,114730,114640,114650
25/09/18,114670,114740,114650,114680
25/09/18,114680,114700,114540,114570
25/09/18,114560,114620,114450,114600
25/09/18,114600,114650,114560,114580
25/09/18,114560,114590,114460,114590
25/09/18,114590,114590,114500,114510
25/09/18,114510,114630,114500,114570
25/09/18,114580,114600,114490,114580
25/09/18,114600,114630,114560,114630
25/09/18,114620,114670,114590,114640
25/09/18,114630,114660,114630,114650
25/09/18,114650,114680,114590,114670
25/09/18,114680,114700,114610,114640
25/09/18,114640,114690,114620,114660
25/09/18,114650,114700,114610,114700
25/09/18,114700,114700,114650,114680
25/09/18,114670,114700,114620,114670
25/09/18,114660,114730,114650,114710
25/09/18,114700,114720,114670,114680
25/09/18,114680,114680,114620,114660
25/09/18,114670,114680,114630,114660
25/09/18,114640,114700,114630,114670
25/09/18,114660,114690,114630,114650
25/09/18,114650,114660,114370,114470
25/09/18,114470,114500,114430,114460
25/09/18,114450,114490,114360,114400
25/09/18,114380,114390,114290,114310
25/09/18,114310,114340,114280,114320
25/09/18,114310,114340,114280,114320
25/09/18,114330,114330,114260,114280
25/09/18,114290,114330,114250,114260
25/09/18,114250,114350,114220,114290
25/09/18,114290,114340,114270,114330
25/09/18,114310,114340,114250,114310
25/09/18,114310,114320,114280,114300
25/09/18,114300,114350,114280,114350
25/09/18,114340,114390,114300,114380
25/09/18,114380,114410,114340,114370
25/09/18,114360,114470,114360,114450
25/09/18,114440,114470,114390,114430
25/09/18,114420,114470,114410,114470
25/09/18,114470,114480,114400,114470
25/09/18,114470,114480,114420,114470
25/09/18,114470,114490,114450,114490
25/09/18,114490,114580,114480,114560
25/09/18,114570,114700,114570,114680
25/09/18,114670,114680,114600,114610
25/09/18,114600,114660,114570,114620
25/09/18,114620,114640,114600,114620
25/09/18,114620,114640,114580,114640
25/09/18,114630,114640,114560,114560
25/09/18,114570,114580,114530,114530
25/09/18,114540,114580,114530,114560
25/09/18,114570,114670,114570,114660
25/09/18,114660,114780,114650,114770
25/09/18,114760,114800,114700,114700
25/09/18,114700,114760,114700,114750
25/09/18,114750,114750,114710,114720
25/09/18,114710,114720,114670,114720
25/09/18,114720,114770,114700,114760
25/09/18,114760,114780,114710,114750
25/09/18,114750,114750,114680,114720
25/09/18,114710,114740,114680,114710
25/09/18,114700,114710,114680,114690
25/09/18,114710,114720,114680,114710
25/09/18,114700,114760,114700,114750
25/09/18,114750,114840,114740,114810
25/09/18,114800,114830,114750,114790
25/09/18,114790,114840,114760,114770
25/09/18,114780,114810,114740,114800
25/09/18,114800,114920,114800,114920
25/09/18,114900,114970,114870,114880
25/09/18,114890,114920,114880,114880
25/09/18,114900,114950,114880,114890
25/09/18,114900,114910,114870,114890
25/09/18,114890,114910,114830,114840
25/09/18,114840,114890,114830,114850
25/09/18,114860,114890,114850,114870
25/09/18,114870,114890,114820,114820
25/09/18,114820,114850,114780,114800
25/09/18,114810,114880,114780,114850
25/09/18,114870,114870,114820,114850
25/09/18,114840,114860,114780,114800
25/09/18,114800,114800,114640,114690
25/09/18,114690,114790,114690,114740
25/09/18,114740,114790,114740,114740
25/09/18,114740,114750,114700,114730
25/09/18,114730,114810,114710,114780
25/09/18,114780,114860,114780,114860
25/09/18,114860,114960,114860,114960
25/09/18,114950,115060,114930,115050
25/09/18,115050,115210,115050,115100
25/09/18,115120,115210,115080,115210
25/09/18,115190,115200,115120,115120
25/09/18,115130,115240,115130,115200
25/09/18,115200,115220,115160,115190
25/09/18,115190,115190,115120,115140
25/09/18,115150,115160,115100,115140
25/09/18,115150,115160,115100,115110
25/09/18,115110,115150,115110,115140
25/09/18,115130,115170,115100,115140
25/09/18,115160,115200,115150,115170
25/09/18,115170,115230,115160,115180
25/09/18,115200,115280,115190,115210
25/09/18,115200,115250,115190,115200
25/09/18,115200,115210,115160,115180
25/09/18,115170,115240,115100,115130
25/09/18,115140,115150,115100,115140
25/09/18,115140,115170,115100,115110
25/09/18,115110,115130,115060,115130
25/09/18,115130,115130,115060,115090
25/09/18,115080,115090,114910,114950
25/09/18,114940,115030,114900,115000
25/09/18,115020,115050,115000,115040
25/09/18,115020,115030,114990,115020
25/09/18,115020,115050,115000,115030
25/09/18,115040,115040,114970,114980
25/09/18,114990,115010,114940,114970
25/09/18,114960,115020,114950,115010
25/09/18,115020,115030,114980,115000
25/09/18,114990,115030,114980,115030
25/09/18,115030,115030,114930,114980
25/09/18,114980,115000,114920,114930
25/09/18,114920,114990,114910,114960
25/09/18,114980,114990,114920,114940
25/09/18,114950,115020,114950,115000
25/09/18,115010,115030,114960,115000
25/09/18,115020,115020,114970,114970
25/09/18,114990,115020,114970,115010
25/09/18,115010,115030,114960,115000
25/09/18,115000,115020,114930,114980
25/09/18,114990,115000,114930,114940
25/09/18,114940,115000,114910,114980
25/09/18,114980,114990,114900,114920
25/09/18,114930,114950,114850,114950
25/09/18,114950,114980,114920,114980
25/09/18,114970,114970,114910,114930
25/09/18,114910,114960,114890,114960
25/09/18,114940,115000,114900,115000
25/09/18,114990,115030,114950,114990
25/09/18,114990,115050,114990,115020
25/09/18,115020,115020,114930,114950
25/09/18,114960,115010,114950,114960
25/09/18,114960,114960,114900,114910
25/09/18,114900,114930,114890,114920
25/09/18,114930,114970,114890,114890
25/09/18,114900,114910,114860,114910
25/09/18,114900,114950,114890,114950
25/09/18,114940,114970,114900,114900
25/09/18,114900,114940,114880,114910
25/09/18,114930,114940,114840,114850
25/09/18,114850,114870,114820,114840
25/09/18,114840,114870,114820,114830
25/09/18,114840,114890,114830,114880
25/09/18,114860,114900,114820,114870
25/09/18,114890,114900,114850,114870
25/09/18,114860,114900,114830,114840
25/09/18,114850,114870,114830,114830
25/09/18,114820,114860,114810,114850
25/09/18,114850,114850,114780,114800
25/09/18,114790,114810,114760,114770
25/09/18,114790,114800,114720,114750
25/09/18,114750,114760,114730,114750
25/09/18,114740,114800,114740,114790
25/09/18,114790,114860,114770,114850
25/09/18,114850,114880,114790,114870
25/09/18,114850,114880,114830,114880
25/09/18,114880,114920,114870,114900
25/09/18,114910,114980,114900,114970
25/09/18,114960,114990,114900,114920
25/09/18,114920,114960,114920,114950
25/09/18,114950,114990,114930,114980
25/09/18,114970,115030,114970,115030
25/09/18,115040,115110,114990,115090
25/09/18,115100,115140,115080,115110
25/09/18,115120,115160,115100,115160
25/09/18,115150,115200,115150,115180
25/09/18,115170,115190,115110,115110
25/09/18,115120,115130,115100,115100
25/09/18,115110,115170,115100,115150
25/09/18,115140,115160,115110,115130
25/09/18,115130,115180,115120,115170
25/09/18,115180,115270,115160,115270
25/09/18,115260,115320,115230,115260
25/09/18,115260,115270,115230,115240
25/09/18,115240,115280,115240,115270
25/09/18,115250,115320,115250,115270
25/09/18,115270,115290,115250,115270
25/09/18,115280,115290,115220,115270
25/09/18,115260,115310,115240,115280
25/09/18,115290,115310,115250,115250
25/09/18,115250,115260,115210,115210
25/09/18,115210,115290,115200,115230
25/09/18,115240,115240,115200,115210
25/09/18,115210,115280,115200,115280
